0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
00,10,00,00,01,00,00,00,00,00,10,00,01,00,00,00
00,01,00,10,00,00,00,00,00,00,00,10,00,00,00,00
00,10,00,00,00,00,00,00,00,00,00,00,00,10,01,00
00,00,00,00,00,00,11,10,01,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,11,00,01,00,00,00,00
00,00,10,01,00,00,00,01,01,00,00,10,00,00,00,00
00,00,00,00,00,00,10,11,11,00,00,00,00,00,00,00
00,00,00,00,00,00,10,11,11,00,00,00,00,00,00,00
00,00,00,11,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,01,00,00,11,00,00,00,00,01,00,00
00,00,00,00,10,00,00,00,00,00,00,00,10,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
10,01,00,00,00,00,01,00,10,01,00,00,00,00,01,00
00,00,00,00,00,00,10,00,00,00,00,00,00,00,10,00
00,00,00,00,10,00,00,00,00,00,00,10,00,00,00,00
